att_metadataReference,has_keyword_hit,decision_type_label,case_caseCompanies,case_caseInitiationDate,case_caseLastDecisionDate,case_caseInstrument,case_caseNumber,case_caseRegulation,case_caseSimplified,case_caseTitle,dec_decisionAdoptionDate,dec_decisionNumber,dec_decisionOfficialJournalPublicationsPublishedDates,dec_decisionTypes_code,dec_decisionTypes_label,dec_language,dec_metadataReference
M.6538-DEC46660-ATT660,false,Art. 6(1)(b),ROBERT BOSCH / SPX' SERVICE SOLUTIONS BUSINESS,2012-05-21,2012-06-26,Merger,M.6538,Council Regulation 139/2004,Normal procedure,ROBERT BOSCH / SPX' SERVICE SOLUTIONS BUSINESS,2012-06-26,46660,2012-08-08,DecisionType20310,Art. 6(1)(b),en,M.6538-DEC46660
M.6535-DEC46676-ATT846,false,Art. 6(1)(b),GLORY / TALARIS TOPCO,2012-05-30,2012-07-02,Merger,M.6535,Council Regulation 139/2004,Normal procedure,GLORY / TALARIS TOPCO,2012-07-02,46676,2012-07-24,DecisionType20310,Art. 6(1)(b),en,M.6535-DEC46676
M.7866-DEC48646-ATT221,false,Art. 6(1)(b),ACTIVISION BLIZZARD / KING,2016-01-08,2016-02-12,Merger,M.7866,Council Regulation 139/2004,Normal procedure,ACTIVISION BLIZZARD / KING,2016-02-12,48646,2016-03-22,DecisionType20310,Art. 6(1)(b),en,M.7866-DEC48646
M.6536-DEC46581-ATT155,false,Art. 6(1)(b),CVC / AHLSELL,2012-03-21,2012-04-30,Merger,M.6536,Council Regulation 139/2004,Simplified procedure,CVC / AHLSELL,2012-04-30,46581,2012-05-08,DecisionType20310,Art. 6(1)(b),en,M.6536-DEC46581
M.7865-DEC48595-ATT236,false,Art. 6(1)(b),LOV GROUP INVEST / DE AGOSTINI / JV,2015-12-07,2016-01-20,Merger,M.7865,Council Regulation 139/2004,Normal procedure,LOV GROUP INVEST / DE AGOSTINI / JV,2016-01-20,48595,2016-02-13,DecisionType20310,Art. 6(1)(b),en,M.7865-DEC48595
M.6533-DEC46554-ATT107,false,Art. 6(1)(b),GOLDMAN SACHS / ADVENT INTERNATIONAL / TRANSUNION CORP,2012-03-13,2012-04-17,Merger,M.6533,Council Regulation 139/2004,Simplified procedure,GOLDMAN SACHS / ADVENT INTERNATIONAL / TRANSUNION CORP,2012-04-17,46554,2012-04-26,DecisionType20310,Art. 6(1)(b),en,M.6533-DEC46554
M.7864-DEC48760-ATT1073,false,Art. 6(1)(b),TRELLEBORG / CGS HOLDING,2016-03-30,2016-05-04,Merger,M.7864,Council Regulation 139/2004,Normal procedure,TRELLEBORG / CGS HOLDING,2016-05-04,48760,2017-06-01,DecisionType20310,Art. 6(1)(b),en,M.7864-DEC48760
M.7874-DEC48706-ATT83,false,Art. 6(1)(b),WARBURG PINCUS / GENERAL ATLANTIC / UNICREDIT / PIONEER US,2016-02-29,2016-03-22,Merger,M.7874,Council Regulation 139/2004,Simplified procedure,WARBURG PINCUS / GENERAL ATLANTIC / UNICREDIT / PIONEER US,2016-03-22,48706,2016-04-01,DecisionType20310,Art. 6(1)(b),en,M.7874-DEC48706
M.6542-DEC46617-ATT295,false,Art. 6(1)(b),EASTMAN CHEMICAL COMPANY / SOLUTIA,2012-04-16,2012-05-24,Merger,M.6542,Council Regulation 139/2004,Normal procedure,EASTMAN CHEMICAL COMPANY / SOLUTIA,2012-05-24,46617,,DecisionType20310,Art. 6(1)(b),en,M.6542-DEC46617
M.7873-DEC{4840F1AC-6ED5-421D-86F4-EAA935D03072}-ATT1780,false,Purchaser approval,,2015-11-16,2017-03-14,Merger,M.7873,Council Regulation 139/2004,Normal,WORLDLINE / EQUENS / PAYSQUARE,2017-03-14,4840F1AC-6ED5-421D-86F4-EAA935D03072,,DecisionType201250,Purchaser approval,en,M.7873-DEC{4840F1AC-6ED5-421D-86F4-EAA935D03072}
