att_metadataReference,has_keyword_hit,decision_type_label,case_caseCompanies,case_caseInitiationDate,case_caseLastDecisionDate,case_caseInstrument,case_caseNumber,case_caseRegulation,case_caseSimplified,case_caseTitle,dec_decisionAdoptionDate,dec_decisionNumber,dec_decisionOfficialJournalPublicationsPublishedDates,dec_decisionTypes_code,dec_decisionTypes_label,dec_language,dec_metadataReference
M.2027-DEC40398-ATT4,false,Art. 6(1)(b),DEUTSCHE BANK / SAP / JV,2000-06-09,2000-07-13,Merger,M.2027,Council Regulation 4064/89,Normal procedure,DEUTSCHE BANK / SAP / JV,2000-07-13,40398,2000-09-05,DecisionType310,Art. 6(1)(b),en,M.2027-DEC40398
M.2028-DEC40399-ATT4,false,Art. 6(1)(b),ABB / BILFINGER / MVV ENERGIE / JV,2000-06-22,2000-07-25,Merger,M.2028,Council Regulation 4064/89,Normal procedure,ABB / BILFINGER / MVV ENERGIE / JV,2000-07-25,40399,2000-08-31,DecisionType310,Art. 6(1)(b),en,M.2028-DEC40399
M.422-DEC38431-ATT2,false,Art. 6(1)(b) with conditions & obligations,UNILEVER FRANCE / ORTIZ MIKO (II),1994-02-14,1994-03-15,Merger,M.422,Council Regulation 4064/89,Normal procedure,UNILEVER FRANCE / ORTIZ MIKO (II),1994-03-15,38431,1994-04-19,DecisionType440,Art. 6(1)(b) with conditions & obligations,en,M.422-DEC38431
M.2029-DEC40400-ATT3,false,Art. 6(1)(b),TATE & LYLE / AMYLUM,2000-07-07,2000-08-11,Merger,M.2029,Council Regulation 4064/89,Normal procedure,TATE & LYLE / AMYLUM,2000-08-11,40400,2000-08-31,DecisionType310,Art. 6(1)(b),en,M.2029-DEC40400
M.420-DEC38429-ATT2,false,Art. 6(1)(b),KPR / CGP,1994-03-09,1994-04-14,Merger,M.420,Council Regulation 4064/89,Normal procedure,KPR / CGP,1994-04-14,38429,1994-04-20,DecisionType310,Art. 6(1)(b),en,M.420-DEC38429
M.2023-DEC40394-ATT6,false,Art. 6(1)(b),BRAMBLES / ERMEWA / JV,2000-06-30,2000-08-04,Merger,M.2023,Council Regulation 4064/89,Normal procedure,BRAMBLES / ERMEWA / JV,2000-08-04,40394,2000-09-22,DecisionType310,Art. 6(1)(b),en,M.2023-DEC40394
M.425-DEC38436-ATT3,false,Art. 6(1)(a),BS / BT,1994-02-25,1994-03-28,Merger,M.425,Council Regulation 4064/89,Normal procedure,BS / BT,1994-03-28,38436,1994-05-17,DecisionType300,Art. 6(1)(a),en,M.425-DEC38436
M.2024-DEC40395-ATT4,false,Art. 6(1)(b),INVENSYS / BAAN,2000-06-05,2000-07-07,Merger,M.2024,Council Regulation 4064/89,Normal procedure,INVENSYS / BAAN,2000-07-07,40395,2000-10-10,DecisionType310,Art. 6(1)(b),en,M.2024-DEC40395
M.1177-DEC39385-ATT4,false,Art. 6(1)(b),BELGACOM / TELE DANMARK / TULIP,1998-04-16,1998-05-19,Merger,M.1177,Council Regulation 4064/89,Normal procedure,BELGACOM / TELE DANMARK / TULIP,1998-05-19,39385,1998-07-09,DecisionType310,Art. 6(1)(b),en,M.1177-DEC39385
M.426-DEC38437-ATT4,false,Art. 6(1)(b),RHONE POULENC / COOPER,1994-03-11,1994-04-18,Merger,M.426,Council Regulation 4064/89,Normal procedure,RHONE POULENC / COOPER,1994-04-18,38437,1994-04-23,DecisionType310,Art. 6(1)(b),en,M.426-DEC38437
M.2025-DEC40396-ATT3,false,Art. 6(1)(b),GE CAPITAL / BTPS / MEPC,2000-06-29,2000-07-27,Merger,M.2025,Council Regulation 4064/89,Normal procedure,GE CAPITAL / BTPS / MEPC,2000-07-27,40396,2000-09-21,DecisionType310,Art. 6(1)(b),en,M.2025-DEC40396
M.1178-DEC39386-ATT3,false,Art. 6(1)(b),KOCH / EURO SPLITTER & J ARON,1998-04-07,1998-05-14,Merger,M.1178,Council Regulation 4064/89,Normal procedure,KOCH / EURO SPLITTER & J ARON,1998-05-14,39386,1998-07-08,DecisionType310,Art. 6(1)(b),en,M.1178-DEC39386
M.423-DEC38434-ATT2,false,Art. 6(1)(b),"""NEWSPAPER PUBLISHING""",1994-02-11,1994-03-14,Merger,M.423,Council Regulation 4064/89,Normal procedure,"""NEWSPAPER PUBLISHING""",1994-03-14,38434,1994-03-22,DecisionType310,Art. 6(1)(b),en,M.423-DEC38434
M.2026-DEC40397-ATT4,false,Art. 6(1)(b),CLEAR CHANNEL COMMUNICATIONS / SFX ENTERTAINMENT,2000-06-13,2000-07-14,Merger,M.2026,Council Regulation 4064/89,Normal procedure,CLEAR CHANNEL COMMUNICATIONS / SFX ENTERTAINMENT,2000-07-14,40397,2000-12-20,DecisionType310,Art. 6(1)(b),en,M.2026-DEC40397
M.1179-DEC39387-ATT4,false,Art. 6(1)(b),TECH DATA / COMPUTER 2000,1998-04-27,1998-06-03,Merger,M.1179,Council Regulation 4064/89,Normal procedure,TECH DATA / COMPUTER 2000,1998-06-03,39387,,DecisionType310,Art. 6(1)(b),en,M.1179-DEC39387
M.429-DEC38440-ATT5,false,Art. 6(1)(b),WINTERTHUR / DBV HOLDING,1994-04-25,1994-05-30,Merger,M.429,Council Regulation 4064/89,Normal procedure,WINTERTHUR / DBV HOLDING,1994-05-30,38440,1994-06-21,DecisionType310,Art. 6(1)(b),en,M.429-DEC38440
M.427-DEC38438-ATT4,false,Art. 6(1)(b),RP / SNIA (NYLTECH),1994-05-11,1994-06-17,Merger,M.427,Council Regulation 4064/89,Normal procedure,RP / SNIA (NYLTECH),1994-06-17,38438,1994-09-16,DecisionType310,Art. 6(1)(b),en,M.427-DEC38438
M.1184-DEC39393-ATT3,false,Art. 6(1)(b),TRAVELERS / CITICORP,1998-05-20,1998-06-23,Merger,M.1184,Council Regulation 4064/89,Normal procedure,TRAVELERS / CITICORP,1998-06-23,39393,1998-12-17,DecisionType310,Art. 6(1)(b),en,M.1184-DEC39393
M.2032-DEC40403-ATT3,false,Art. 6(1)(b) with conditions & obligations,SCA PACKAGING / METSÄ CORRUGATED,2000-07-11,2000-08-25,Merger,M.2032,Council Regulation 4064/89,Normal procedure,SCA PACKAGING / METSÄ CORRUGATED,2000-08-25,40403,2003-02-22,DecisionType440,Art. 6(1)(b) with conditions & obligations,en,M.2032-DEC40403
M.1185-DEC39394-ATT4,true,Art. 6(1)(b) with conditions & obligations,ALCATEL / THOMSON CSF - SCS,1998-05-18,1998-06-04,Merger,M.1185,Council Regulation 4064/89,Normal procedure,ALCATEL / THOMSON CSF - SCS,1998-06-04,39394,1998-09-01,DecisionType440,Art. 6(1)(b) with conditions & obligations,en,M.1185-DEC39394
M.2033-DEC40407-ATT6,false,Art. 8(2) with conditions & obligations,METSO / SVEDALA,2000-08-07,2001-01-24,Merger,M.2033,Council Regulation 4064/89,Normal procedure,METSO / SVEDALA,2001-01-24,40407,2004-03-25,DecisionType600,Art. 8(2) with conditions & obligations,en,M.2033-DEC40407
M.1186-DEC39396-ATT3,true,Art. 6(1)(b),GEAL / CREA / CGE,1998-05-18,1998-06-18,Merger,M.1186,Council Regulation 4064/89,Normal procedure,GEAL / CREA / CGE,1998-06-18,39396,1998-07-14,DecisionType310,Art. 6(1)(b),en,M.1186-DEC39396
M.1182-DEC39390-ATT3,false,Art. 6(1)(b) with conditions & obligations,AKZO NOBEL / COURTAULDS,1998-05-13,1998-06-30,Merger,M.1182,Council Regulation 4064/89,Normal procedure,AKZO NOBEL / COURTAULDS,1998-06-30,39390,1998-08-22,DecisionType440,Art. 6(1)(b) with conditions & obligations,en,M.1182-DEC39390
M.2039-DEC40414-ATT4,false,Art. 6(1)(b),HVB / COMMERZBANK / DB / DRESDNER / JV,2000-09-04,2000-10-04,Merger,M.2039,Council Regulation 4064/89,Simplified procedure,HVB / COMMERZBANK / DB / DRESDNER / JV,2000-10-04,40414,2000-11-21,DecisionType310,Art. 6(1)(b),en,M.2039-DEC40414
M.433-DEC38448-ATT3,false,Art. 6(1)(b),ERC / NRG VICTORY,1994-04-20,1994-05-27,Merger,M.433,Council Regulation 4064/89,Normal procedure,ERC / NRG VICTORY,1994-05-27,38448,1994-06-17,DecisionType310,Art. 6(1)(b),en,M.433-DEC38448
M.431-DEC38445-ATT3,false,Art. 6(1)(b),MEDEOL / ELOSUA,1994-04-29,1994-06-06,Merger,M.431,Council Regulation 4064/89,Normal procedure,MEDEOL / ELOSUA,1994-06-06,38445,1994-06-22,DecisionType310,Art. 6(1)(b),en,M.431-DEC38445
M.2034-DEC40409-ATT3,false,Art. 6(1)(b),HAGEMEYER / WF ELECTRICAL,2000-06-15,2000-07-17,Merger,M.2034,Council Regulation 4064/89,Normal procedure,HAGEMEYER / WF ELECTRICAL,2000-07-17,40409,2000-09-01,DecisionType310,Art. 6(1)(b),en,M.2034-DEC40409
M.2035-DEC40410-ATT4,false,Art. 6(1)(b),DOUGHTY HANSON / RANK HOVIS McDOUGALL,2000-07-25,2000-08-24,Merger,M.2035,Council Regulation 4064/89,Normal procedure,DOUGHTY HANSON / RANK HOVIS McDOUGALL,2000-08-24,40410,2001-02-08,DecisionType310,Art. 6(1)(b),en,M.2035-DEC40410
M.1188-DEC39398-ATT3,false,Art. 6(1)(b),PROJECT PRESIDENT | KINGFISHER / WEGERT / PROMARKT,1998-05-14,1998-06-18,Merger,M.1188,Council Regulation 4064/89,Normal procedure,KINGFISHER / WEGERT / PROMARKT,1998-06-18,39398,1998-11-10,DecisionType310,Art. 6(1)(b),en,M.1188-DEC39398
M.437-DEC38452-ATT4,false,Art. 6(1)(b),MATRA MARCONI SPACE / BRITISH AEROSPACE,1994-07-20,1994-08-23,Merger,M.437,Council Regulation 4064/89,Normal procedure,MATRA MARCONI SPACE / BRITISH AEROSPACE,1994-08-23,38452,1994-09-01,DecisionType310,Art. 6(1)(b),en,M.437-DEC38452
M.2036-DEC40411-ATT3,false,Art. 6(1)(b),VALEO / LABINAL,2000-06-30,2000-08-04,Merger,M.2036,Council Regulation 4064/89,Normal procedure,VALEO / LABINAL,2000-08-04,40411,2000-10-12,DecisionType310,Art. 6(1)(b),en,M.2036-DEC40411
M.1189-DEC39399-ATT4,false,Art. 6(1)(b),TEKSID / NORSK HYDRO PRODUKSJON / MERIDIAN | PROJECT CAR,1998-06-16,1998-07-17,Merger,M.1189,Council Regulation 4064/89,Normal procedure,TEKSID / NORSK HYDRO PRODUKSJON / MERIDIAN,1998-07-17,39399,1998-08-11,DecisionType310,Art. 6(1)(b),en,M.1189-DEC39399
M.2037-DEC40412-ATT4,false,Art. 6(1)(b),BNP PARIBAS / PHH,2000-07-03,2000-07-28,Merger,M.2037,Council Regulation 4064/89,Normal procedure,BNP PARIBAS / PHH,2000-07-28,40412,2000-09-19,DecisionType310,Art. 6(1)(b),en,M.2037-DEC40412
M.439-DEC38454-ATT5,false,Art. 6(1)(b),HÜLS / PHENOLCHEMIE,1994-04-05,1994-05-06,Merger,M.439,Council Regulation 4064/89,Normal procedure,HÜLS / PHENOLCHEMIE,1994-05-06,38454,1994-05-25,DecisionType310,Art. 6(1)(b),en,M.439-DEC38454
M.439-DEC38454-ATT9,false,Art. 6(1)(b),HÜLS / PHENOLCHEMIE,1994-04-05,1994-05-06,Merger,M.439,Council Regulation 4064/89,Normal procedure,HÜLS / PHENOLCHEMIE,1994-05-06,38454,1994-05-25,DecisionType310,Art. 6(1)(b),en,M.439-DEC38454
M.2041-DEC40416-ATT3,false,Art. 6(1)(b) with conditions & obligations,UNITED AIRLINES / US AIRWAYS,2000-11-20,2001-01-12,Merger,M.2041,Council Regulation 4064/89,Normal procedure,UNITED AIRLINES / US AIRWAYS,2001-01-12,40416,,DecisionType440,Art. 6(1)(b) with conditions & obligations,en,M.2041-DEC40416
M.1194-DEC39405-ATT4,false,Art. 6(1)(b),SGB / FORTIS AG,1998-05-18,1998-06-24,Merger,M.1194,Council Regulation 4064/89,Normal procedure,SGB / FORTIS AG,1998-06-24,39405,1998-11-04,DecisionType310,Art. 6(1)(b),en,M.1194-DEC39405
M.1195-DEC39406-ATT4,false,Art. 6(1)(b),SIEBE / EUROTHERM,1998-05-07,1998-06-11,Merger,M.1195,Council Regulation 4064/89,Normal procedure,SIEBE / EUROTHERM,1998-06-11,39406,1998-07-08,DecisionType310,Art. 6(1)(b),en,M.1195-DEC39406
M.1196-DEC39407-ATT3,false,Art. 6(1)(b),JOHNSON CONTROLS / BECKER,1998-05-19,1998-06-24,Merger,M.1196,Council Regulation 4064/89,Normal procedure,JOHNSON CONTROLS / BECKER,1998-06-24,39407,1998-08-26,DecisionType310,Art. 6(1)(b),en,M.1196-DEC39407
M.2044-DEC40420-ATT5,false,Art. 6(1)(b),INTERBREW / BASS,2000-07-06,2000-08-22,Merger,M.2044,Council Regulation 4064/89,Normal procedure,INTERBREW / BASS,2000-08-22,40420,2000-10-14,DecisionType310,Art. 6(1)(b),en,M.2044-DEC40420
M.2044-DEC40421-ATT7,false,Art. 9(3) partial referral,INTERBREW / BASS,2000-07-06,2000-08-22,Merger,M.2044,Council Regulation 4064/89,Normal procedure,INTERBREW / BASS,2000-08-22,40421,,DecisionType230,Art. 9(3) partial referral,en,M.2044-DEC40421
M.1190-DEC39400-ATT4,false,Art. 6(1)(b),AMOCO / REPSOL / IBERDROLA / ENTE VASCO DE LA ENERGIA,1998-07-09,1998-08-11,Merger,M.1190,Council Regulation 4064/89,Normal procedure,AMOCO / REPSOL / IBERDROLA / ENTE VASCO DE LA ENERGIA,1998-08-11,39400,1998-09-16,DecisionType310,Art. 6(1)(b),en,M.1190-DEC39400
M.1192-DEC39402-ATT4,false,Art. 6(1)(b),CHS ELECTRONICS / METROLOGIE INTERNATIONAL,1998-05-18,1998-06-23,Merger,M.1192,Council Regulation 4064/89,Normal procedure,CHS ELECTRONICS / METROLOGIE INTERNATIONAL,1998-06-23,39402,1999-05-21,DecisionType310,Art. 6(1)(b),en,M.1192-DEC39402
M.1193-DEC39403-ATT4,false,Art. 6(1)(b),AXA / ROYALE BELGE,1998-05-08,1998-06-12,Merger,M.1193,Council Regulation 4064/89,Normal procedure,AXA / ROYALE BELGE,1998-06-12,39403,1998-07-30,DecisionType310,Art. 6(1)(b),en,M.1193-DEC39403
M.883-DEC38999-ATT3,false,Art. 6(1)(b),PRUDENTIAL / HSBC / FINNISH CHEMICALS,1997-01-10,1997-02-13,Merger,M.883,Council Regulation 4064/89,Normal procedure,PRUDENTIAL / HSBC / FINNISH CHEMICALS,1997-02-13,38999,1997-04-19,DecisionType310,Art. 6(1)(b),en,M.883-DEC38999
M.884-DEC39000-ATT3,false,Art. 6(1)(b),KNP BT / BUNZL / WILHELM SEILER,1997-01-15,1997-02-14,Merger,M.884,Council Regulation 4064/89,Normal procedure,KNP BT / BUNZL / WILHELM SEILER,1997-02-14,39000,1997-04-09,DecisionType310,Art. 6(1)(b),en,M.884-DEC39000
M.400-DEC38406-ATT4,false,Art. 6(1)(b),ALLIED LYONS / HWE - PEDRO DOMECQ,1994-03-24,1994-04-28,Merger,M.400,Council Regulation 4064/89,Normal procedure,ALLIED LYONS / HWE - PEDRO DOMECQ,1994-04-28,38406,1994-05-07,DecisionType310,Art. 6(1)(b),en,M.400-DEC38406
M.882-DEC38998-ATT3,false,Art. 6(1)(b),ADM / GRACE,1997-01-20,1997-02-20,Merger,M.882,Council Regulation 4064/89,Normal procedure,ADM / GRACE,1997-02-20,38998,1997-04-18,DecisionType310,Art. 6(1)(b),en,M.882-DEC38998
M.2045-DEC40422-ATT3,false,Art. 6(1)(b),SALZGITTER / MANNESMANNRÖHREN-WERKE (See ECSC.1336),2000-08-01,2000-09-05,Merger,M.2045,Council Regulation 4064/89,Normal procedure,SALZGITTER / MANNESMANNRÖHREN-WERKE (See ECSC.1336),2000-09-05,40422,,DecisionType310,Art. 6(1)(b),en,M.2045-DEC40422
M.1198-DEC39409-ATT4,false,Art. 6(1)(b),BAE / SAAB,1998-06-02,1998-07-03,Merger,M.1198,Council Regulation 4064/89,Normal procedure,BAE / SAAB,1998-07-03,39409,1999-02-16,DecisionType310,Art. 6(1)(b),en,M.1198-DEC39409
M.887-DEC39004-ATT3,false,Art. 6(1)(b),CASTLE TOWER  / TDF / CANDOVER / BERKSHIRE - HSCo | CASTLE TOWER COMMUNICATIONS / TÉLÉDIFFUSION DE FRANCE - HSCo,1997-01-24,1997-02-27,Merger,M.887,Council Regulation 4064/89,Normal procedure,CASTLE TOWER  / TDF / CANDOVER / BERKSHIRE - HSCo,1997-02-27,39004,1997-04-18,DecisionType310,Art. 6(1)(b),en,M.887-DEC39004
M.403-DEC38410-ATT2,false,Art. 6(1)(b),AGF / LA UNION Y EL FENIX,1994-03-22,1994-04-25,Merger,M.403,Council Regulation 4064/89,Normal procedure,AGF / LA UNION Y EL FENIX,1994-04-25,38410,1994-06-07,DecisionType310,Art. 6(1)(b),en,M.403-DEC38410
M.2046-DEC40423-ATT3,false,Art. 6(1)(b),VALEO / ROBERT BOSCH / JV,2000-06-26,2000-07-28,Merger,M.2046,Council Regulation 4064/89,Normal procedure,VALEO / ROBERT BOSCH / JV,2000-07-28,40423,2001-09-25,DecisionType310,Art. 6(1)(b),en,M.2046-DEC40423
M.1199-DEC39410-ATT4,false,Art. 6(1)(b),UTA TELEKOM AG / SWISSCOM,1998-06-10,1998-07-13,Merger,M.1199,Council Regulation 4064/89,Normal procedure,UTA TELEKOM AG / SWISSCOM,1998-07-13,39410,1998-09-16,DecisionType310,Art. 6(1)(b),en,M.1199-DEC39410
M.404-DEC38411-ATT2,false,Art. 6(1)(b),ASSICURAZIONI GENERALI / CENTRAL HISP. - GEN,1994-01-10,1994-02-09,Merger,M.404,Council Regulation 4064/89,Normal procedure,ASSICURAZIONI GENERALI / CENTRAL HISP. - GEN,1994-02-09,38411,1994-02-25,DecisionType310,Art. 6(1)(b),en,M.404-DEC38411
M.2047-DEC40424-ATT3,false,Art. 6(1)(b),BAYERISCHE HYPO- UND VEREINSBANK / IXOS / MANNESMANN/ MEMIQ,2000-07-03,2000-08-04,Merger,M.2047,Council Regulation 4064/89,Normal procedure,BAYERISCHE HYPO- UND VEREINSBANK / IXOS / MANNESMANN/ MEMIQ,2000-08-04,40424,2001-06-27,DecisionType310,Art. 6(1)(b),en,M.2047-DEC40424
M.885-DEC39001-ATT4,false,Art. 6(1)(b),MERCK / RHÔNE-POULENC (Merial) | MERCK / RHÔNE-POULENC  -  MERIAL,1997-06-02,1997-07-02,Merger,M.885,Council Regulation 4064/89,Normal procedure,MERCK / RHÔNE-POULENC  -  MERIAL,1997-07-02,39001,1997-10-14,DecisionType310,Art. 6(1)(b),en,M.885-DEC39001
M.401-DEC38407-ATT2,false,Art. 6(1)(b),RÜTGERS / HÜLS TROISDORF,1994-02-01,1994-03-02,Merger,M.401,Council Regulation 4064/89,Normal procedure,RÜTGERS / HÜLS TROISDORF,1994-03-02,38407,1994-04-06,DecisionType310,Art. 6(1)(b),en,M.401-DEC38407
M.2048-DEC40425-ATT3,false,Art. 6(1)(b),ALCATEL / THOMSON MULTIMEDIA / JV,2000-09-26,2000-10-26,Merger,M.2048,Council Regulation 4064/89,Normal procedure,ALCATEL / THOMSON MULTIMEDIA / JV,2000-10-26,40425,2000-12-05,DecisionType310,Art. 6(1)(b),en,M.2048-DEC40425
M.886-DEC39003-ATT3,false,Art. 6(1)(b),MRW / MHP | MANNESMANN / MHP,1997-03-14,1997-04-22,Merger,M.886,Council Regulation 4064/89,Normal procedure,MRW / MHP,1997-04-22,39003,1997-05-27,DecisionType310,Art. 6(1)(b),en,M.886-DEC39003
M.402-DEC38409-ATT6,false,Art. 6(1)(b),POWERGEN / NRG ENERGY / MORRISON KNUDSEN / MIB,1994-05-24,1994-06-27,Merger,M.402,Council Regulation 4064/89,Normal procedure,POWERGEN / NRG ENERGY / MORRISON KNUDSEN / MIB,1994-06-27,38409,1994-07-12,DecisionType310,Art. 6(1)(b),en,M.402-DEC38409
M.408-DEC38415-ATT2,false,Art. 6(1)(b),RWE / MANNESMANN,1994-01-25,1994-02-28,Merger,M.408,Council Regulation 4064/89,Normal procedure,RWE / MANNESMANN,1994-02-28,38415,1994-03-05,DecisionType310,Art. 6(1)(b),en,M.408-DEC38415
M.406-DEC38413-ATT2,false,Art. 6(1)(b),PHILIPS / HOECHST,1994-02-10,1994-03-11,Merger,M.406,Council Regulation 4064/89,Normal procedure,PHILIPS / HOECHST,1994-03-11,38413,1994-03-18,DecisionType310,Art. 6(1)(b),en,M.406-DEC38413
M.409-DEC38416-ATT4,false,Art. 6(1)(a),ABB / RENAULT AUTOMATION,1994-02-08,1994-03-09,Merger,M.409,Council Regulation 4064/89,Normal procedure,ABB / RENAULT AUTOMATION,1994-03-09,38416,1994-03-17,DecisionType300,Art. 6(1)(a),en,M.409-DEC38416
M.409-DEC38417-ATT3,false,Art. 6(1)(b),ABB / RENAULT AUTOMATION,1994-02-08,1994-03-09,Merger,M.409,Council Regulation 4064/89,Normal procedure,ABB / RENAULT AUTOMATION,1994-03-09,38417,1994-03-17,DecisionType310,Art. 6(1)(b),en,M.409-DEC38417
M.2052-DEC40430-ATT3,false,Art. 6(1)(b),INDUSTRI KAPITAL / ALFA-LAVAL HOLDING,2000-07-11,2000-08-11,Merger,M.2052,Council Regulation 4064/89,Normal procedure,INDUSTRI KAPITAL / ALFA-LAVAL HOLDING,2000-08-11,40430,2000-12-22,DecisionType310,Art. 6(1)(b),en,M.2052-DEC40430
M.2053-DEC40431-ATT4,false,Art. 6(1)(b),TELENOR / BELL SOUTH / SONOFON,2000-07-04,2000-08-04,Merger,M.2053,Council Regulation 4064/89,Normal procedure,TELENOR / BELL SOUTH / SONOFON,2000-08-04,40431,2000-10-18,DecisionType310,Art. 6(1)(b),en,M.2053-DEC40431
M.880-DEC38996-ATT3,false,Art. 6(1)(b),SCHWEIZER  RE /  UNIORIAS,1997-01-09,1997-02-07,Merger,M.880,Council Regulation 4064/89,Normal procedure,SCHWEIZER  RE /  UNIORIAS,1997-02-07,38996,1997-04-18,DecisionType310,Art. 6(1)(b),en,M.880-DEC38996
M.2050-DEC40427-ATT3,true,Art. 6(1)(b) with conditions & obligations,VIVENDI / CANAL+ / SEAGRAM,2000-08-31,2000-10-13,Merger,M.2050,Council Regulation 4064/89,Normal procedure,VIVENDI / CANAL+ / SEAGRAM,2000-10-13,40427,2000-10-30,DecisionType440,Art. 6(1)(b) with conditions & obligations,en,M.2050-DEC40427
M.2051-DEC40429-ATT3,false,Art. 6(1)(b),NORDIC CAPITAL / HIAG / NYBRON / BAUWERK,2000-07-04,2000-08-04,Merger,M.2051,Council Regulation 4064/89,Normal procedure,NORDIC CAPITAL / HIAG / NYBRON / BAUWERK,2000-08-04,40429,2001-06-20,DecisionType310,Art. 6(1)(b),en,M.2051-DEC40429
M.894-DEC39018-ATT7,false,Art. 6(1)(b),RHEINMETALL / BRITISH AEROSPACE / STN ATLAS | RHEINMETALL / BRITISH AEROSPACE / STN,1997-03-07,1997-04-24,Merger,M.894,Council Regulation 4064/89,Normal procedure,RHEINMETALL / BRITISH AEROSPACE / STN ATLAS,1997-04-24,39018,,DecisionType310,Art. 6(1)(b),en,M.894-DEC39018
M.894-DEC39019-ATT10,false,Art. 9(3) partial referral,RHEINMETALL / BRITISH AEROSPACE / STN ATLAS | RHEINMETALL / BRITISH AEROSPACE / STN,1997-03-07,1997-04-24,Merger,M.894,Council Regulation 4064/89,Normal procedure,RHEINMETALL / BRITISH AEROSPACE / STN ATLAS,1997-04-24,39019,,DecisionType230,Art. 9(3) partial referral,en,M.894-DEC39019
M.410-DEC38418-ATT3,false,Art. 6(1)(b),KIRCH / RICHEMONT / TELEPIU,1994-07-01,1994-08-02,Merger,M.410,Council Regulation 4064/89,Normal procedure,KIRCH / RICHEMONT / TELEPIU,1994-08-02,38418,1994-08-13,DecisionType310,Art. 6(1)(b),en,M.410-DEC38418
M.2056-DEC40435-ATT3,false,Art. 6(1)(b),SONERA SYSTEMS / ICL INVIA / DATA-INFO / JV,2000-07-18,2000-08-21,Merger,M.2056,Council Regulation 4064/89,Normal procedure,SONERA SYSTEMS / ICL INVIA / DATA-INFO / JV,2000-08-21,40435,2000-11-11,DecisionType310,Art. 6(1)(b),en,M.2056-DEC40435
M.2057-DEC40436-ATT3,false,Art. 6(1)(b),RANDSTAD / VNU / JV,2000-07-31,2000-08-30,Merger,M.2057,Council Regulation 4064/89,Normal procedure,RANDSTAD / VNU / JV,2000-08-30,40436,2000-12-21,DecisionType310,Art. 6(1)(b),en,M.2057-DEC40436
M.896-DEC39020-ATT3,false,Art. 6(1)(b),TENNECO / KNP BT,1997-03-24,1997-04-30,Merger,M.896,Council Regulation 4064/89,Normal procedure,TENNECO / KNP BT,1997-04-30,39020,1997-07-08,DecisionType310,Art. 6(1)(b),en,M.896-DEC39020
M.2059-DEC40438-ATT3,false,Art. 6(1)(b) with conditions & obligations,SIEMENS / DEMATIC / VDO / SACHS,2000-07-13,2000-08-29,Merger,M.2059,Council Regulation 4064/89,Normal procedure,SIEMENS / DEMATIC / VDO / SACHS,2000-08-29,40438,2000-12-22,DecisionType440,Art. 6(1)(b) with conditions & obligations,en,M.2059-DEC40438
M.897-DEC39021-ATT4,false,Art. 6(1)(a),STINNES / HANIEL REEDEREI,1997-07-09,1997-08-11,Merger,M.897,Council Regulation 4064/89,Normal procedure,STINNES / HANIEL REEDEREI,1997-08-11,39021,1997-09-24,DecisionType300,Art. 6(1)(a),en,M.897-DEC39021
M.416-DEC38424-ATT4,false,Art. 6(1)(b),BMW / ROVER,1994-02-11,1994-03-14,Merger,M.416,Council Regulation 4064/89,Normal procedure,BMW / ROVER,1994-03-14,38424,1994-03-30,DecisionType310,Art. 6(1)(b),en,M.416-DEC38424
M.417-DEC38425-ATT2,false,Art. 6(1)(b),VIAG / BAYERNWERK,1994-03-30,1994-05-05,Merger,M.417,Council Regulation 4064/89,Normal procedure,VIAG / BAYERNWERK,1994-05-05,38425,1994-06-21,DecisionType310,Art. 6(1)(b),en,M.417-DEC38425
M.2063-DEC40445-ATT3,false,Art. 6(1)(b),SEI / MITSUBISHI ELECTRIC / JV,2000-07-20,2000-08-21,Merger,M.2063,Council Regulation 4064/89,Normal procedure,SEI / MITSUBISHI ELECTRIC / JV,2000-08-21,40445,2000-10-24,DecisionType310,Art. 6(1)(b),en,M.2063-DEC40445
M.2065-DEC40447-ATT3,false,Art. 6(1)(b),ACHMEA / BCP / EUREKO,2000-10-18,2000-11-17,Merger,M.2065,Council Regulation 4064/89,Simplified procedure,ACHMEA / BCP / EUREKO,2000-11-17,40447,2000-12-29,DecisionType310,Art. 6(1)(b),en,M.2065-DEC40447
M.2066-DEC40448-ATT3,false,Art. 6(1)(b),DANA / GETRAG | DANA / GETRAG   ,2000-09-29,2000-11-07,Merger,M.2066,Council Regulation 4064/89,Normal procedure,DANA / GETRAG   ,2000-11-07,40448,2001-02-16,DecisionType310,Art. 6(1)(b),en,M.2066-DEC40448
M.890-DEC39009-ATT32,false,Art. 8(4),"BLOKKER / TOYS""R"" Us (II) | BLOKKER / TOYS ""R"" Us  (II)",1997-01-23,1997-06-26,Merger,M.890,Council Regulation 4064/89,Normal procedure,"BLOKKER / TOYS""R"" Us (II)",1997-06-26,39009,1998-11-25,DecisionType664,Art. 8(4),en,M.890-DEC39009
M.890-DEC39009-ATT33,false,Art. 8(4),"BLOKKER / TOYS""R"" Us (II) | BLOKKER / TOYS ""R"" Us  (II)",1997-01-23,1997-06-26,Merger,M.890,Council Regulation 4064/89,Normal procedure,"BLOKKER / TOYS""R"" Us (II)",1997-06-26,39009,1998-11-25,DecisionType664,Art. 8(4),en,M.890-DEC39009
