case_caseNumber,case_caseSectors_code,case_caseSectors_label,case_caseSectors_code_level1,case_caseSectors_code_level2,case_caseSectors_code_level3,has_keyword_hit
M.1431,NaceSectorsC_28_9_5,C.28.95 - Manufacture of machinery for paper and paperboard production,NaceSectorsC,NaceSectorsC_28,NaceSectorsC_28_9,0
M.1432,NaceSectorsC_20_5_9,C.20.59 - Manufacture of other chemical products n.e.c.,NaceSectorsC,NaceSectorsC_20,NaceSectorsC_20_5,0
M.1433,NaceSectorsC_28_2_5,C.28.25 - Manufacture of non-domestic cooling and ventilation equipment,NaceSectorsC,NaceSectorsC_28,NaceSectorsC_28_2,0
M.1434,NaceSectorsC_27_9_0,C.27.90 - Manufacture of other electrical equipment,NaceSectorsC,NaceSectorsC_27,NaceSectorsC_27_9,0
M.1434,NaceSectorsC_33_2_0,C.33.20 - Installation of industrial machinery and equipment,NaceSectorsC,NaceSectorsC_33,NaceSectorsC_33_2,0
M.1435,NaceSectorsG_45_1,G.45.1 - Sale of motor vehicles,NaceSectorsG,NaceSectorsG_45,NaceSectorsG_45_1,0
M.1437,NaceSectorsC_22,C.22 - Manufacture of rubber and plastic products,NaceSectorsC,NaceSectorsC_22,NaceSectorsC_22,0
M.1438,NaceSectorsC_25_4,C.25.4 - Manufacture of weapons and ammunition,NaceSectorsC,NaceSectorsC_25,NaceSectorsC_25_4,0
M.1438,NaceSectorsC_30_3,C.30.3 - Manufacture of air and spacecraft and related machinery,NaceSectorsC,NaceSectorsC_30,NaceSectorsC_30_3,0
M.1438,NaceSectorsO_84_2_2,O.84.22 - Defence activities,NaceSectorsO,NaceSectorsO_84,NaceSectorsO_84_2,0
M.1439,NaceSectorsJ_60_2,J.60.2 - Television programming and broadcasting activities,NaceSectorsJ,NaceSectorsJ_60,NaceSectorsJ_60_2,1
M.1439,NaceSectorsJ_61,J.61 - Telecommunications,NaceSectorsJ,NaceSectorsJ_61,NaceSectorsJ_61,1
M.1440,NaceSectorsC_26_3,C.26.3 - Manufacture of communication equipment,NaceSectorsC,NaceSectorsC_26,NaceSectorsC_26_3,0
M.1440,NaceSectorsJ_61,J.61 - Telecommunications,NaceSectorsJ,NaceSectorsJ_61,NaceSectorsJ_61,0
M.1442,NaceSectorsC_17_2_1,C.17.21 - Manufacture of corrugated paper and paperboard and of containers of paper and paperboard,NaceSectorsC,NaceSectorsC_17,NaceSectorsC_17_2,0
M.1446,NaceSectorsC_33_2_0,C.33.20 - Installation of industrial machinery and equipment,NaceSectorsC,NaceSectorsC_33,NaceSectorsC_33_2,0
M.1447,NaceSectorsH_52_2_1,H.52.21 - Service activities incidental to land transportation,NaceSectorsH,NaceSectorsH_52,NaceSectorsH_52_2,0
M.1449,NaceSectorsC_30_9_9,C.30.99 - Manufacture of other transport equipment n.e.c.,NaceSectorsC,NaceSectorsC_30,NaceSectorsC_30_9,0
M.1450,NaceSectorsF_41_2_0,F.41.20 - Construction of residential and non-residential buildings,NaceSectorsF,NaceSectorsF_41,NaceSectorsF_41_2,0
M.1452,NaceSectorsC_30_9_1,C.30.91 - Manufacture of motorcycles,NaceSectorsC,NaceSectorsC_30,NaceSectorsC_30_9,0
M.1453,NaceSectorsK_65,"K.65 - Insurance, reinsurance and pension funding, except compulsory social security",NaceSectorsK,NaceSectorsK_65,NaceSectorsK_65,0
M.1455,NaceSectorsJ_58_1_3,J.58.13 - Publishing of newspapers,NaceSectorsJ,NaceSectorsJ_58,NaceSectorsJ_58_1,1
M.1455,NaceSectorsS_96_0,S.96.0 - Other personal service activities,NaceSectorsS,NaceSectorsS_96,NaceSectorsS_96_0,1
M.1456,NaceSectorsC_29_3_2,C.29.32 - Manufacture of other parts and accessories for motor vehicles,NaceSectorsC,NaceSectorsC_29,NaceSectorsC_29_3,0
M.1459,NaceSectorsG_47_6,G.47.6 - Retail sale of cultural and recreation goods in specialised stores,NaceSectorsG,NaceSectorsG_47,NaceSectorsG_47_6,0
M.146,NaceSectorsG_46_7,G.46.7 - Other specialised wholesale,NaceSectorsG,NaceSectorsG_46,NaceSectorsG_46_7,0
M.1460,NaceSectorsC_23_5,"C.23.5 - Manufacture of cement, lime and plaster",NaceSectorsC,NaceSectorsC_23,NaceSectorsC_23_5,0
M.1461,NaceSectorsC_10,C.10 - Manufacture of food products,NaceSectorsC,NaceSectorsC_10,NaceSectorsC_10,0
M.1462,NaceSectorsC_29_3_2,C.29.32 - Manufacture of other parts and accessories for motor vehicles,NaceSectorsC,NaceSectorsC_29,NaceSectorsC_29_3,0
M.1464,NaceSectorsB_6,B.06 - Extraction of crude petroleum and natural gas,NaceSectorsB,NaceSectorsB_6,NaceSectorsB_6,0
M.1464,NaceSectorsC_19_2_0,C.19.20 - Manufacture of refined petroleum products,NaceSectorsC,NaceSectorsC_19,NaceSectorsC_19_2,0
M.1465,NaceSectorsJ_61,J.61 - Telecommunications,NaceSectorsJ,NaceSectorsJ_61,NaceSectorsJ_61,0
M.1466,NaceSectorsC_28_1_1,"C.28.11 - Manufacture of engines and turbines, except aircraft, vehicle and cycle engines",NaceSectorsC,NaceSectorsC_28,NaceSectorsC_28_1,0
M.1467,NaceSectorsC_20_5,C.20.5 - Manufacture of other chemical products,NaceSectorsC,NaceSectorsC_20,NaceSectorsC_20_5,0
M.1469,NaceSectorsC_20_1,"C.20.1 - Manufacture of basic chemicals, fertilisers and nitrogen compounds, plastics and synthetic rubber in primary forms",NaceSectorsC,NaceSectorsC_20,NaceSectorsC_20_1,0
M.147,NaceSectorsM_73_1,M.73.1 - Advertising,NaceSectorsM,NaceSectorsM_73,NaceSectorsM_73_1,0
M.1470,NaceSectorsC_20_5,C.20.5 - Manufacture of other chemical products,NaceSectorsC,NaceSectorsC_20,NaceSectorsC_20_5,0
M.1470,NaceSectorsC_22_1_1,C.22.11 - Manufacture of rubber tyres and tubes; retreading and rebuilding of rubber tyres,NaceSectorsC,NaceSectorsC_22,NaceSectorsC_22_1,0
M.1471,NaceSectorsG_46_6_6,G.46.66 - Wholesale of other office machinery and equipment,NaceSectorsG,NaceSectorsG_46,NaceSectorsG_46_6,0
M.1474,NaceSectorsH_50_2_0,H.50.20 - Sea and coastal freight water transport,NaceSectorsH,NaceSectorsH_50,NaceSectorsH_50_2,0
M.1475,NaceSectorsK_64_9_2,K.64.92 - Other credit granting,NaceSectorsK,NaceSectorsK_64,NaceSectorsK_64_9,0
M.1476,NaceSectorsN_78_1_0,N.78.10 - Activities of employment placement agencies,NaceSectorsN,NaceSectorsN_78,NaceSectorsN_78_1,0
M.1477,NaceSectorsC_28_2_9,C.28.29 - Manufacture of other general-purpose machinery n.e.c.,NaceSectorsC,NaceSectorsC_28,NaceSectorsC_28_2,0
M.1479,NaceSectorsC_33_2_0,C.33.20 - Installation of industrial machinery and equipment,NaceSectorsC,NaceSectorsC_33,NaceSectorsC_33_2,0
M.1479,NaceSectorsO_84_2_2,O.84.22 - Defence activities,NaceSectorsO,NaceSectorsO_84,NaceSectorsO_84_2,0
M.1481,NaceSectorsC_29_3_2,C.29.32 - Manufacture of other parts and accessories for motor vehicles,NaceSectorsC,NaceSectorsC_29,NaceSectorsC_29_3,0
M.1482,NaceSectorsM_74_2_0,M.74.20 - Photographic activities,NaceSectorsM,NaceSectorsM_74,NaceSectorsM_74_2,0
M.1484,NaceSectorsC_25_2_1,C.25.21 - Manufacture of central heating radiators and boilers,NaceSectorsC,NaceSectorsC_25,NaceSectorsC_25_2,0
M.1484,NaceSectorsC_27_1_1,"C.27.11 - Manufacture of electric motors, generators and transformers",NaceSectorsC,NaceSectorsC_27,NaceSectorsC_27_1,0
M.1484,NaceSectorsC_28_1_1,"C.28.11 - Manufacture of engines and turbines, except aircraft, vehicle and cycle engines",NaceSectorsC,NaceSectorsC_28,NaceSectorsC_28_1,0
M.1485,NaceSectorsC_29_3_2,C.29.32 - Manufacture of other parts and accessories for motor vehicles,NaceSectorsC,NaceSectorsC_29,NaceSectorsC_29_3,0
M.1487,NaceSectorsC_17_2_2,C.17.22 - Manufacture of household and sanitary goods and of toilet requisites,NaceSectorsC,NaceSectorsC_17,NaceSectorsC_17_2,0
M.1488,NaceSectorsR_93_2_9,R.93.29 - Other amusement and recreation activities,NaceSectorsR,NaceSectorsR_93,NaceSectorsR_93_2,0
M.1489,NaceSectorsC_28_9_5,C.28.95 - Manufacture of machinery for paper and paperboard production,NaceSectorsC,NaceSectorsC_28,NaceSectorsC_28_9,0
M.149,NaceSectorsC_29_3_2,C.29.32 - Manufacture of other parts and accessories for motor vehicles,NaceSectorsC,NaceSectorsC_29,NaceSectorsC_29_3,0
M.1491,NaceSectorsC_29_3_2,C.29.32 - Manufacture of other parts and accessories for motor vehicles,NaceSectorsC,NaceSectorsC_29,NaceSectorsC_29_3,0
M.1492,NaceSectorsC_26_1_1,C.26.11 - Manufacture of electronic components,NaceSectorsC,NaceSectorsC_26,NaceSectorsC_26_1,0
M.1493,NaceSectorsC_28_1_1,"C.28.11 - Manufacture of engines and turbines, except aircraft, vehicle and cycle engines",NaceSectorsC,NaceSectorsC_28,NaceSectorsC_28_1,0
M.1493,NaceSectorsC_28_9_9,C.28.99 - Manufacture of other special-purpose machinery n.e.c.,NaceSectorsC,NaceSectorsC_28,NaceSectorsC_28_9,0
M.1494,NaceSectorsH_51_1_0,H.51.10 - Passenger air transport,NaceSectorsH,NaceSectorsH_51,NaceSectorsH_51_1,0
M.1496,NaceSectorsC_33_2_0,C.33.20 - Installation of industrial machinery and equipment,NaceSectorsC,NaceSectorsC_33,NaceSectorsC_33_2,0
M.1496,NaceSectorsJ_61,J.61 - Telecommunications,NaceSectorsJ,NaceSectorsJ_61,NaceSectorsJ_61,0
M.1497,NaceSectorsA_1_1_1,"A.01.11 - Growing of cereals (except rice), leguminous crops and oil seeds",NaceSectorsA,NaceSectorsA_1,NaceSectorsA_1_1,0
M.1498,NaceSectorsK_64,"K.64 - Financial service activities, except insurance and pension funding",NaceSectorsK,NaceSectorsK_64,NaceSectorsK_64,0
M.1499,NaceSectorsK_65,"K.65 - Insurance, reinsurance and pension funding, except compulsory social security",NaceSectorsK,NaceSectorsK_65,NaceSectorsK_65,0
M.1500,NaceSectorsH_53_2_0,H.53.20 - Other postal and courier activities,NaceSectorsH,NaceSectorsH_53,NaceSectorsH_53_2,0
M.1501,NaceSectorsC_30_3,C.30.3 - Manufacture of air and spacecraft and related machinery,NaceSectorsC,NaceSectorsC_30,NaceSectorsC_30_3,0
M.1502,NaceSectorsH_51,H.51 - Air transport,NaceSectorsH,NaceSectorsH_51,NaceSectorsH_51,0
M.1502,NaceSectorsN_79_1_2,N.79.12 - Tour operator activities,NaceSectorsN,NaceSectorsN_79,NaceSectorsN_79_1,0
M.1504,NaceSectorsH_49_3,H.49.3 - Other passenger land transport,NaceSectorsH,NaceSectorsH_49,NaceSectorsH_49_3,0
M.1506,NaceSectorsC_30_9_9,C.30.99 - Manufacture of other transport equipment n.e.c.,NaceSectorsC,NaceSectorsC_30,NaceSectorsC_30_9,0
M.1509,NaceSectorsC_25_9_9,C.25.99 - Manufacture of other fabricated metal products n.e.c.,NaceSectorsC,NaceSectorsC_25,NaceSectorsC_25_9,0
M.1510,NaceSectorsJ_61,J.61 - Telecommunications,NaceSectorsJ,NaceSectorsJ_61,NaceSectorsJ_61,0
M.1512,NaceSectorsC_21_2_0,C.21.20 - Manufacture of pharmaceutical preparations,NaceSectorsC,NaceSectorsC_21,NaceSectorsC_21_2,0
M.1513,NaceSectorsH_53_2_0,H.53.20 - Other postal and courier activities,NaceSectorsH,NaceSectorsH_53,NaceSectorsH_53_2,0
M.1514,NaceSectorsE_36_0_0,"E.36.00 - Water collection, treatment and supply",NaceSectorsE,NaceSectorsE_36,NaceSectorsE_36_0,0
M.1516,NaceSectorsP_85_5_9,P.85.59 - Other education n.e.c.,NaceSectorsP,NaceSectorsP_85,NaceSectorsP_85_5,0
M.1517,NaceSectorsC_20,C.20 - Manufacture of chemicals and chemical products,NaceSectorsC,NaceSectorsC_20,NaceSectorsC_20,0
M.1518,NaceSectorsC_29_3_2,C.29.32 - Manufacture of other parts and accessories for motor vehicles,NaceSectorsC,NaceSectorsC_29,NaceSectorsC_29_3,0
M.1519,NaceSectorsC_33_2_0,C.33.20 - Installation of industrial machinery and equipment,NaceSectorsC,NaceSectorsC_33,NaceSectorsC_33_2,0
M.152,NaceSectorsC_28_1,C.28.1 - Manufacture of general-purpose machinery,NaceSectorsC,NaceSectorsC_28,NaceSectorsC_28_1,0
M.1521,NaceSectorsC_24_5_1,C.24.51 - Casting of iron,NaceSectorsC,NaceSectorsC_24,NaceSectorsC_24_5,0
M.1522,NaceSectorsB_8_9_3,B.08.93 - Extraction of salt,NaceSectorsB,NaceSectorsB_8,NaceSectorsB_8_9,0
M.1524,NaceSectorsN_79_1_2,N.79.12 - Tour operator activities,NaceSectorsN,NaceSectorsN_79,NaceSectorsN_79_1,0
M.1526,NaceSectorsG_45_2,G.45.2 - Maintenance and repair of motor vehicles,NaceSectorsG,NaceSectorsG_45,NaceSectorsG_45_2,0
M.1527,NaceSectorsG_47_9,"G.47.9 - Retail trade not in stores, stalls or markets",NaceSectorsG,NaceSectorsG_47,NaceSectorsG_47_9,0
M.1529,NaceSectorsM_73_1,M.73.1 - Advertising,NaceSectorsM,NaceSectorsM_73,NaceSectorsM_73_1,0
M.1532,NaceSectorsB_6,B.06 - Extraction of crude petroleum and natural gas,NaceSectorsB,NaceSectorsB_6,NaceSectorsB_6,0
M.1532,NaceSectorsC_19_2_0,C.19.20 - Manufacture of refined petroleum products,NaceSectorsC,NaceSectorsC_19,NaceSectorsC_19_2,0
M.1532,NaceSectorsC_20,C.20 - Manufacture of chemicals and chemical products,NaceSectorsC,NaceSectorsC_20,NaceSectorsC_20,0
M.1533,NaceSectorsG_47,"G.47 - Retail trade, except of motor vehicles and motorcycles",NaceSectorsG,NaceSectorsG_47,NaceSectorsG_47,0
M.1534,NaceSectorsC_15_1_2,"C.15.12 - Manufacture of luggage, handbags and the like, saddlery and harness",NaceSectorsC,NaceSectorsC_15,NaceSectorsC_15_1,0
M.1536,NaceSectorsJ_61,J.61 - Telecommunications,NaceSectorsJ,NaceSectorsJ_61,NaceSectorsJ_61,0
M.1538,NaceSectorsC_20,C.20 - Manufacture of chemicals and chemical products,NaceSectorsC,NaceSectorsC_20,NaceSectorsC_20,0
M.1539,NaceSectorsC_23_1,C.23.1 - Manufacture of glass and glass products,NaceSectorsC,NaceSectorsC_23,NaceSectorsC_23_1,0
M.1541,NaceSectorsG_47,"G.47 - Retail trade, except of motor vehicles and motorcycles",NaceSectorsG,NaceSectorsG_47,NaceSectorsG_47,0
M.1543,NaceSectorsC_21_2,C.21.2 - Manufacture of pharmaceutical preparations,NaceSectorsC,NaceSectorsC_21,NaceSectorsC_21_2,0
M.1547,NaceSectorsH_52_2_3,H.52.23 - Service activities incidental to air transportation,NaceSectorsH,NaceSectorsH_52,NaceSectorsH_52_2,0
M.1549,NaceSectorsH_52_2_1,H.52.21 - Service activities incidental to land transportation,NaceSectorsH,NaceSectorsH_52,NaceSectorsH_52_2,0
M.1549,NaceSectorsH_53_2_0,H.53.20 - Other postal and courier activities,NaceSectorsH,NaceSectorsH_53,NaceSectorsH_53_2,0
M.1551,NaceSectorsJ_61,J.61 - Telecommunications,NaceSectorsJ,NaceSectorsJ_61,NaceSectorsJ_61,0
M.1552,NaceSectorsC_28_1,C.28.1 - Manufacture of general-purpose machinery,NaceSectorsC,NaceSectorsC_28,NaceSectorsC_28_1,0
M.1552,NaceSectorsC_28_9,C.28.9 - Manufacture of other special-purpose machinery,NaceSectorsC,NaceSectorsC_28,NaceSectorsC_28_9,0
M.1553,NaceSectorsJ_61,J.61 - Telecommunications,NaceSectorsJ,NaceSectorsJ_61,NaceSectorsJ_61,0
M.1555,NaceSectorsC_10,C.10 - Manufacture of food products,NaceSectorsC,NaceSectorsC_10,NaceSectorsC_10,0
M.1556,NaceSectorsC_17_1_1,C.17.11 - Manufacture of pulp,NaceSectorsC,NaceSectorsC_17,NaceSectorsC_17_1,0
M.1557,NaceSectorsD_35_1,"D.35.1 - Electric power generation, transmission and distribution",NaceSectorsD,NaceSectorsD_35,NaceSectorsD_35_1,1
M.1558,NaceSectorsC_20,C.20 - Manufacture of chemicals and chemical products,NaceSectorsC,NaceSectorsC_20,NaceSectorsC_20,0
M.1559,NaceSectorsC_33_2_0,C.33.20 - Installation of industrial machinery and equipment,NaceSectorsC,NaceSectorsC_33,NaceSectorsC_33_2,0
M.156,NaceSectorsC_10_4,C.10.4 - Manufacture of vegetable and animal oils and fats,NaceSectorsC,NaceSectorsC_10,NaceSectorsC_10_4,0
M.1560,NaceSectorsC_30_9_9,C.30.99 - Manufacture of other transport equipment n.e.c.,NaceSectorsC,NaceSectorsC_30,NaceSectorsC_30_9,0
M.1561,NaceSectorsG_47_7_8,G.47.78 - Other retail sale of new goods in specialised stores,NaceSectorsG,NaceSectorsG_47,NaceSectorsG_47_7,0
M.1561,NaceSectorsJ_62_0,"J.62.0 - Computer programming, consultancy and related activities",NaceSectorsJ,NaceSectorsJ_62,NaceSectorsJ_62_0,0
M.1562,NaceSectorsC_23_9_9,C.23.99 - Manufacture of other non-metallic mineral products n.e.c.,NaceSectorsC,NaceSectorsC_23,NaceSectorsC_23_9,0
M.1563,NaceSectorsC_29_3_2,C.29.32 - Manufacture of other parts and accessories for motor vehicles,NaceSectorsC,NaceSectorsC_29,NaceSectorsC_29_3,0
M.1564,NaceSectorsJ_61,J.61 - Telecommunications,NaceSectorsJ,NaceSectorsJ_61,NaceSectorsJ_61,0
M.1567,NaceSectorsC_24_3_4,C.24.34 - Cold drawing of wire,NaceSectorsC,NaceSectorsC_24,NaceSectorsC_24_3,0
M.1569,NaceSectorsC_33_2_0,C.33.20 - Installation of industrial machinery and equipment,NaceSectorsC,NaceSectorsC_33,NaceSectorsC_33_2,0
M.157,NaceSectorsH_51,H.51 - Air transport,NaceSectorsH,NaceSectorsH_51,NaceSectorsH_51,0
M.1571,NaceSectorsC_28_3_0,C.28.30 - Manufacture of agricultural and forestry machinery,NaceSectorsC,NaceSectorsC_28,NaceSectorsC_28_3,0
M.1571,NaceSectorsC_28_9,C.28.9 - Manufacture of other special-purpose machinery,NaceSectorsC,NaceSectorsC_28,NaceSectorsC_28_9,0
M.1572,NaceSectorsN_81_2,N.81.2 - Cleaning activities,NaceSectorsN,NaceSectorsN_81,NaceSectorsN_81_2,0
M.1573,NaceSectorsB_6_1,B.06.1 - Extraction of crude petroleum,NaceSectorsB,NaceSectorsB_6,NaceSectorsB_6_1,0
M.1574,NaceSectorsJ_60_2,J.60.2 - Television programming and broadcasting activities,NaceSectorsJ,NaceSectorsJ_60,NaceSectorsJ_60_2,0
M.1575,NaceSectorsC_27_5_1,C.27.51 - Manufacture of electric domestic appliances,NaceSectorsC,NaceSectorsC_27,NaceSectorsC_27_5,0
M.1578,NaceSectorsC_33_2_0,C.33.20 - Installation of industrial machinery and equipment,NaceSectorsC,NaceSectorsC_33,NaceSectorsC_33_2,1
M.1580,NaceSectorsJ_62_0,"J.62.0 - Computer programming, consultancy and related activities",NaceSectorsJ,NaceSectorsJ_62,NaceSectorsJ_62_0,0
M.1581,NaceSectorsJ_61,J.61 - Telecommunications,NaceSectorsJ,NaceSectorsJ_61,NaceSectorsJ_61,0
M.1585,NaceSectorsH_49_4,H.49.4 - Freight transport by road and removal services,NaceSectorsH,NaceSectorsH_49,NaceSectorsH_49_4,0
M.1587,NaceSectorsC_29_3_2,C.29.32 - Manufacture of other parts and accessories for motor vehicles,NaceSectorsC,NaceSectorsC_29,NaceSectorsC_29_3,0
M.1588,NaceSectorsC_33_2_0,C.33.20 - Installation of industrial machinery and equipment,NaceSectorsC,NaceSectorsC_33,NaceSectorsC_33_2,0
M.1589,NaceSectorsC_29_3_2,C.29.32 - Manufacture of other parts and accessories for motor vehicles,NaceSectorsC,NaceSectorsC_29,NaceSectorsC_29_3,0
M.159,NaceSectorsK_65,"K.65 - Insurance, reinsurance and pension funding, except compulsory social security",NaceSectorsK,NaceSectorsK_65,NaceSectorsK_65,0
M.1590,NaceSectorsK_64,"K.64 - Financial service activities, except insurance and pension funding",NaceSectorsK,NaceSectorsK_64,NaceSectorsK_64,0
M.1592,NaceSectorsG_45_1,G.45.1 - Sale of motor vehicles,NaceSectorsG,NaceSectorsG_45,NaceSectorsG_45_1,0
M.1593,NaceSectorsF_41,F.41 - Construction of buildings,NaceSectorsF,NaceSectorsF_41,NaceSectorsF_41,0
M.1594,NaceSectorsC_28_9,C.28.9 - Manufacture of other special-purpose machinery,NaceSectorsC,NaceSectorsC_28,NaceSectorsC_28_9,0
M.1595,NaceSectorsC_24,C.24 - Manufacture of basic metals,NaceSectorsC,NaceSectorsC_24,NaceSectorsC_24,0
M.1596,NaceSectorsI_55_1_0,I.55.10 - Hotels and similar accommodation,NaceSectorsI,NaceSectorsI_55,NaceSectorsI_55_1,0
M.1597,NaceSectorsC_19_2_0,C.19.20 - Manufacture of refined petroleum products,NaceSectorsC,NaceSectorsC_19,NaceSectorsC_19_2,0
M.1597,NaceSectorsE_38_3_2,E.38.32 - Recovery of sorted materials,NaceSectorsE,NaceSectorsE_38,NaceSectorsE_38_3,0
M.1598,NaceSectorsC_10_1,C.10.1 - Processing and preserving of meat and production of meat products,NaceSectorsC,NaceSectorsC_10,NaceSectorsC_10_1,0
M.1599,NaceSectorsC_20,C.20 - Manufacture of chemicals and chemical products,NaceSectorsC,NaceSectorsC_20,NaceSectorsC_20,0
M.160,NaceSectorsC_20_5,C.20.5 - Manufacture of other chemical products,NaceSectorsC,NaceSectorsC_20,NaceSectorsC_20_5,0
M.1601,NaceSectorsC_30_3,C.30.3 - Manufacture of air and spacecraft and related machinery,NaceSectorsC,NaceSectorsC_30,NaceSectorsC_30_3,1
M.1603,NaceSectorsK_64,"K.64 - Financial service activities, except insurance and pension funding",NaceSectorsK,NaceSectorsK_64,NaceSectorsK_64,0
M.1606,NaceSectorsD_35_1,"D.35.1 - Electric power generation, transmission and distribution",NaceSectorsD,NaceSectorsD_35,NaceSectorsD_35_1,0
M.1609,NaceSectorsB_6,B.06 - Extraction of crude petroleum and natural gas,NaceSectorsB,NaceSectorsB_6,NaceSectorsB_6,0
M.1610,NaceSectorsH_52_2_1,H.52.21 - Service activities incidental to land transportation,NaceSectorsH,NaceSectorsH_52,NaceSectorsH_52_2,0
M.1612,NaceSectorsG_47,"G.47 - Retail trade, except of motor vehicles and motorcycles",NaceSectorsG,NaceSectorsG_47,NaceSectorsG_47,0
M.1615,NaceSectorsC_32_9,C.32.9 - Manufacturing n.e.c.,NaceSectorsC,NaceSectorsC_32,NaceSectorsC_32_9,0
M.1616,NaceSectorsK_64,"K.64 - Financial service activities, except insurance and pension funding",NaceSectorsK,NaceSectorsK_64,NaceSectorsK_64,0
M.1617,NaceSectorsK_65,"K.65 - Insurance, reinsurance and pension funding, except compulsory social security",NaceSectorsK,NaceSectorsK_65,NaceSectorsK_65,0
M.1618,NaceSectorsK_64,"K.64 - Financial service activities, except insurance and pension funding",NaceSectorsK,NaceSectorsK_64,NaceSectorsK_64,0
M.162,NaceSectorsC_17_1,"C.17.1 - Manufacture of pulp, paper and paperboard",NaceSectorsC,NaceSectorsC_17,NaceSectorsC_17_1,0
M.1621,NaceSectorsH_52_1_0,H.52.10 - Warehousing and storage,NaceSectorsH,NaceSectorsH_52,NaceSectorsH_52_1,0
M.1623,NaceSectorsC_28_1_1,"C.28.11 - Manufacture of engines and turbines, except aircraft, vehicle and cycle engines",NaceSectorsC,NaceSectorsC_28,NaceSectorsC_28_1,0
M.1626,NaceSectorsH_51,H.51 - Air transport,NaceSectorsH,NaceSectorsH_51,NaceSectorsH_51,0
M.1627,NaceSectorsK_65_1_1,K.65.11 - Life insurance,NaceSectorsK,NaceSectorsK_65,NaceSectorsK_65_1,0
M.1628,NaceSectorsB_6,B.06 - Extraction of crude petroleum and natural gas,NaceSectorsB,NaceSectorsB_6,NaceSectorsB_6,1
M.1628,NaceSectorsC_19,C.19 - Manufacture of coke and refined petroleum products,NaceSectorsC,NaceSectorsC_19,NaceSectorsC_19,1
M.1628,NaceSectorsC_19_2_0,C.19.20 - Manufacture of refined petroleum products,NaceSectorsC,NaceSectorsC_19,NaceSectorsC_19_2,1
M.1629,NaceSectorsC_30_2_0,C.30.20 - Manufacture of railway locomotives and rolling stock,NaceSectorsC,NaceSectorsC_30,NaceSectorsC_30_2,0
M.1630,NaceSectorsD_35_2,D.35.2 - Manufacture of gas; distribution of gaseous fuels through mains,NaceSectorsD,NaceSectorsD_35,NaceSectorsD_35_2,0
M.1631,NaceSectorsE_36_0_0,"E.36.00 - Water collection, treatment and supply",NaceSectorsE,NaceSectorsE_36,NaceSectorsE_36_0,0
M.1632,NaceSectorsC_20_4,"C.20.4 - Manufacture of soap and detergents, cleaning and polishing preparations, perfumes and toilet preparations",NaceSectorsC,NaceSectorsC_20,NaceSectorsC_20_4,0
M.1633,NaceSectorsE_36_0_0,"E.36.00 - Water collection, treatment and supply",NaceSectorsE,NaceSectorsE_36,NaceSectorsE_36_0,0
M.1636,NaceSectorsC_30_3,C.30.3 - Manufacture of air and spacecraft and related machinery,NaceSectorsC,NaceSectorsC_30,NaceSectorsC_30_3,0
M.1637,NaceSectorsL_68,L.68 - Real estate activities,NaceSectorsL,NaceSectorsL_68,NaceSectorsL_68,0
M.164,NaceSectorsC_29_3_2,C.29.32 - Manufacture of other parts and accessories for motor vehicles,NaceSectorsC,NaceSectorsC_29,NaceSectorsC_29_3,0
M.1640,NaceSectorsC_25_9_9,C.25.99 - Manufacture of other fabricated metal products n.e.c.,NaceSectorsC,NaceSectorsC_25,NaceSectorsC_25_9,0
M.1641,NaceSectorsD_35_2,D.35.2 - Manufacture of gas; distribution of gaseous fuels through mains,NaceSectorsD,NaceSectorsD_35,NaceSectorsD_35_2,0
M.1642,NaceSectorsB_6_1,B.06.1 - Extraction of crude petroleum,NaceSectorsB,NaceSectorsB_6,NaceSectorsB_6_1,0
M.1642,NaceSectorsC_19,C.19 - Manufacture of coke and refined petroleum products,NaceSectorsC,NaceSectorsC_19,NaceSectorsC_19,0
M.1642,NaceSectorsC_20,C.20 - Manufacture of chemicals and chemical products,NaceSectorsC,NaceSectorsC_20,NaceSectorsC_20,0
M.1643,NaceSectorsC_33_2_0,C.33.20 - Installation of industrial machinery and equipment,NaceSectorsC,NaceSectorsC_33,NaceSectorsC_33_2,0
M.1644,NaceSectorsC_23_3_2,"C.23.32 - Manufacture of bricks, tiles and construction products, in baked clay",NaceSectorsC,NaceSectorsC_23,NaceSectorsC_23_3,0
M.1646,NaceSectorsH_51,H.51 - Air transport,NaceSectorsH,NaceSectorsH_51,NaceSectorsH_51,0
M.1649,NaceSectorsH_49,H.49 - Land transport and transport via pipelines,NaceSectorsH,NaceSectorsH_49,NaceSectorsH_49,0
M.1649,NaceSectorsH_49_4,H.49.4 - Freight transport by road and removal services,NaceSectorsH,NaceSectorsH_49,NaceSectorsH_49_4,0
M.165,NaceSectorsC_27_3_2,C.27.32 - Manufacture of other electronic and electric wires and cables,NaceSectorsC,NaceSectorsC_27,NaceSectorsC_27_3,0
M.1650,NaceSectorsJ_61,J.61 - Telecommunications,NaceSectorsJ,NaceSectorsJ_61,NaceSectorsJ_61,0
M.1652,NaceSectorsG_45,G.45 - Wholesale and retail trade and repair of motor vehicles and motorcycles,NaceSectorsG,NaceSectorsG_45,NaceSectorsG_45,0
M.1654,NaceSectorsJ_61,J.61 - Telecommunications,NaceSectorsJ,NaceSectorsJ_61,NaceSectorsJ_61,0
