case_caseNumber,case_caseSectors_code,case_caseSectors_label,case_caseSectors_code_level1,case_caseSectors_code_level2,case_caseSectors_code_level3,has_keyword_hit
M.10021,NaceSectorsJ_62_0,"J.62.0 - Computer programming, consultancy and related activities",NaceSectorsJ,NaceSectorsJ_62,NaceSectorsJ_62_0,0
M.10022,NaceSectorsB_6,B.06 - Extraction of crude petroleum and natural gas,NaceSectorsB,NaceSectorsB_6,NaceSectorsB_6,0
M.10023,NaceSectorsK_64_3,"K.64.3 - Trusts, funds and similar financial entities",NaceSectorsK,NaceSectorsK_64,NaceSectorsK_64_3,0
M.10023,NaceSectorsK_65_1,K.65.1 - Insurance,NaceSectorsK,NaceSectorsK_65,NaceSectorsK_65_1,0
M.10023,NaceSectorsK_65_2,K.65.2 - Reinsurance,NaceSectorsK,NaceSectorsK_65,NaceSectorsK_65_2,0
M.10024,NaceSectorsC_25_5,"C.25.5 - Forging, pressing, stamping and roll-forming of metal; powder metallurgy",NaceSectorsC,NaceSectorsC_25,NaceSectorsC_25_5,0
M.10025,NaceSectorsG_46_7_1,"G.46.71 - Wholesale of solid, liquid and gaseous fuels and related products",NaceSectorsG,NaceSectorsG_46,NaceSectorsG_46_7,0
M.10027,NaceSectorsF_41_2,F.41.2 - Construction of residential and non-residential buildings,NaceSectorsF,NaceSectorsF_41,NaceSectorsF_41_2,0
M.10028,NaceSectorsC_20,C.20 - Manufacture of chemicals and chemical products,NaceSectorsC,NaceSectorsC_20,NaceSectorsC_20,0
M.10028,NaceSectorsC_20_5_2,C.20.52 - Manufacture of glues,NaceSectorsC,NaceSectorsC_20,NaceSectorsC_20_5,0
M.10029,NaceSectorsK_64,"K.64 - Financial service activities, except insurance and pension funding",NaceSectorsK,NaceSectorsK_64,NaceSectorsK_64,0
M.10029,NaceSectorsK_64_9_9,"K.64.99 - Other financial service activities, except insurance and pension funding n.e.c.",NaceSectorsK,NaceSectorsK_64,NaceSectorsK_64_9,0
M.10029,NaceSectorsK_66_1_9,"K.66.19 - Other activities auxiliary to financial services, except insurance and pension funding",NaceSectorsK,NaceSectorsK_66,NaceSectorsK_66_1,0
M.1003,NaceSectorsC_24_4_2,C.24.42 - Aluminium production,NaceSectorsC,NaceSectorsC_24,NaceSectorsC_24_4,0
M.10030,NaceSectorsC_23_2_0,C.23.20 - Manufacture of refractory products,NaceSectorsC,NaceSectorsC_23,NaceSectorsC_23_2,0
M.10030,NaceSectorsC_23_3,C.23.3 - Manufacture of clay building materials,NaceSectorsC,NaceSectorsC_23,NaceSectorsC_23_3,0
M.10030,NaceSectorsC_23_4_9,C.23.49 - Manufacture of other ceramic products,NaceSectorsC,NaceSectorsC_23,NaceSectorsC_23_4,0
M.10030,NaceSectorsC_23_6,"C.23.6 - Manufacture of articles of concrete, cement and plaster",NaceSectorsC,NaceSectorsC_23,NaceSectorsC_23_6,0
